category,4050,after-finish,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,couple,dog,event,evil-omen,fashionshow,first-birthday,food,good-omen,group,kids,landscape,location,lookbook,model-and-actor,model-works,musician,panorama,person,portrait-strong,product,profile-1,review,seminude,street,tour,uniform,video-club,video-entertainment,video-excercise,video-fashion,video-music,video-sketch,video-wedding,wedding,withyou,zoo
4050,1.0,0.0,0.0,0.037530626345294485,0.0,0.22457618905117419,0.016350185068397353,0.0,0.022230483828496607,0.0,0.44397408640104563,0.0,0.0,0.033113281420256754,0.0,0.0,0.0,0.0,0.2559718766661607,0.04924127496831144,0.0,0.019671345284575113,0.01945421266508191,0.07853593735270828,0.0,0.06768777411328954,0.0,0.1307988697121873,0.0,0.0,0.0,0.0,0.07102323074228498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008236853956015838,0.0,0.0
after-finish,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
animalcompany,0.0,0.0,0.9999999999999998,0.0035246933421702814,0.0029072076677098594,0.0,0.0021237035048424094,0.03236351722133631,0.0,0.0,0.0,0.160571426248163,0.0,0.02756447190342398,0.0,0.0,0.01595579120522666,0.025994736212549927,0.0,0.0,0.0,0.0,0.03521727873486533,0.0,0.0,0.0,0.0,0.046132080965674546,0.06014367683299004,0.00829256075890737,0.0,0.0,0.0042757406163331105,0.034439432909086264,0.0,0.0,0.007127995032690726,0.0,0.0029526919837816446,0.028639118977891065,0.033948471002599165,0.03691297539577985,0.0,0.030620286871942126,0.09343837398936443,0.21553746342926194
artwork-creative-h-and-m,0.037530626345294485,0.0,0.0035246933421702814,1.0,0.06280157643442,0.08284068885665245,0.0063477824313639564,0.0,0.014856926337369625,0.03358281134273174,0.10676149072083886,0.0,0.13666680968318162,0.24709150241094863,0.0,0.0,0.0,0.23008639411250323,0.05242218817665589,0.004090333875334193,0.0,0.055658543270213356,0.10355795284704952,0.028121282305364335,0.0,0.10079795150369159,0.0246424936092916,0.031676874721459074,0.1599213422679886,0.012181042146646528,0.0,0.0,0.03662250656617691,0.0,0.0,0.0,0.002571676593034892,0.0,0.0010652881808009087,0.010332576212918837,0.012248112947092183,0.01331766287283252,0.0,0.013954550752472903,0.0,0.0
artwork-dark,0.0,0.0,0.0029072076677098594,0.06280157643442,1.0,0.008086148445830615,0.0018800619641804938,0.0,0.002376565133998312,0.0,0.0,0.0015740161496452887,0.06512962954030051,0.09287906076586835,0.0,0.0,0.0,0.11520756704170357,0.0,0.0,0.0,0.0,0.014069134069756475,0.002421430734256185,0.0,0.007075686079898329,0.012804187029704518,0.022402400777645715,0.08683892685475682,0.009165742477501109,0.0,0.0,0.006792523510508814,0.0,0.0,0.0036523556576716605,0.004892326323042137,0.0947034084033327,0.029347309531419844,0.027910951293649622,0.049380456112153887,0.02570086499482189,0.0,0.1830069997126869,0.0,0.0
bj,0.22457618905117419,0.0,0.0,0.08284068885665245,0.008086148445830615,0.9999999999999998,0.02601278138366809,0.0,0.0526021604808023,0.0,0.35442371827140345,0.0,0.0,0.05826784055690517,0.0,0.5216186275527457,0.0,0.0,0.18881594569693982,0.002429265713277778,0.0,0.06841603761748966,0.25733687503046915,0.21356682873794386,0.0,0.2978104248347459,0.0,0.37553255561558996,0.0,0.032225163646372644,0.0,0.0,0.11959488506761679,0.0,0.15709551743216552,0.0,0.005116362839862367,0.30078654342955513,0.0,0.03604490553540155,0.0,0.14345709076066004,0.42081575897841933,0.23309054230296952,0.0,0.0
body,0.016350185068397353,0.0,0.0021237035048424094,0.0063477824313639564,0.0018800619641804938,0.02601278138366809,1.0,0.0,0.0018161724856101196,0.0,0.006460875639465805,0.0024729686461096344,0.0,0.017336932784944813,0.0,0.0,0.009932801191799212,0.007677372642552885,0.009765772310072418,0.004591762588969365,0.004511084057799866,0.004079832920949894,0.008459729647698994,0.026745699989815595,0.0,0.017672173123219767,0.00016953585282036252,0.04574335238110477,0.01231712273929438,0.002565604458021984,0.0,0.0,0.14705996403145877,0.004273153034270278,0.0,0.0020098162814265754,0.00010505019848195386,0.0,4.351586631721411e-05,0.001181808676029923,0.0005003221243317376,0.0005440120783056109,0.0,0.0,0.0,0.0
cat,0.0,0.0,0.03236351722133631,0.0,0.0,0.0,0.0,0.9999999999999998,0.002204693054669492,0.0,0.006454501620093422,0.03808433220962149,0.0,0.0,0.0,0.02761138928589671,0.0,0.0,0.038875031938966985,0.005934963953045884,0.0,0.0,0.0,0.0,0.0,0.0,0.17360281101200875,0.017424885914150298,0.0,0.0,0.0,0.0,0.0,0.0,0.03742066264500159,0.0,0.0026405908775358,0.0,0.0,0.0,0.0,0.0,0.0,0.01281298257043805,0.04227087294529804,0.0
ceo,0.022230483828496607,0.0,0.0,0.014856926337369625,0.002376565133998312,0.0526021604808023,0.0018161724856101196,0.002204693054669492,0.9999999999999998,0.0,0.01928744804493003,0.0004741156933175742,0.0,0.010833280979538588,0.0,0.007984723375710764,0.0,0.02479167501830975,0.19694510193584422,0.10856701854910215,0.0,0.00881859821127711,0.27740508192245344,0.06653059309108002,0.0,0.04137719282085298,0.0,0.01801406042508988,0.0,0.20583994364273184,0.0,0.0,0.015282621479535321,0.0,0.010821391008700457,0.3950217953174518,0.0,0.0,0.0,0.0,0.0,0.0,0.008170855598774021,0.017817398541256014,0.0,0.0
club,0.0,0.0,0.0,0.03358281134273174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14637470078036197,0.0,0.0,0.053046145538465525,0.0,0.0,0.0,0.16680848484368885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13701495638387423
couple,0.44397408640104563,0.0,0.0,0.10676149072083886,0.0,0.35442371827140345,0.006460875639465805,0.006454501620093422,0.01928744804493003,0.0,0.9999999999999999,0.0038170830113555525,0.0,0.0,0.0,0.3740196657697475,0.0,0.0,0.06835611422381212,0.012561580630105366,0.0,0.019229584011870027,0.2045938892680748,0.0,0.0,0.10669753695509948,0.0,0.1309364897685565,0.0,0.0,0.0,0.0,0.008117460924445551,0.0,0.13728395032013493,0.0,0.003439330872406468,0.16018068067341976,0.0,0.0,0.0,0.0652354346524336,0.2828815462760594,0.1675362237690841,0.03949485490538104,0.0
dog,0.0,0.0,0.160571426248163,0.0,0.0015740161496452887,0.0,0.0024729686461096344,0.03808433220962149,0.0004741156933175742,0.0,0.0038170830113555525,0.9999999999999998,0.0,0.0,0.0,0.005937784829964389,0.014766002992616848,0.0,0.007958089350942783,0.0012763044467589114,0.0,0.0,0.0,0.019958261821930817,0.0,0.017785812566134016,0.0,0.07204617303421573,0.04753041146932946,0.024417917888151817,0.0,0.0,0.0022024973211286396,0.007944473959860974,0.008047253279435607,0.002368050893219041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003980038517570364,0.17074991414154658,0.13928625011494464
event,0.0,0.0,0.0,0.13666680968318162,0.06512962954030051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.14615898406622688,0.0,0.0,0.0,0.0,0.0,0.02226495749375483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evil-omen,0.033113281420256754,0.0,0.02756447190342398,0.24709150241094863,0.09287906076586835,0.05826784055690517,0.017336932784944813,0.0,0.010833280979538588,0.0,0.0,0.0,0.14615898406622688,0.9999999999999999,0.0,0.0,0.0,0.3005210409677902,0.09816705230939843,0.007290712415794508,0.0,0.054408930196911925,0.10414460277959149,0.03141705110384693,0.0,0.009924199403452412,0.06769892693298855,0.03237397077740171,0.38220379657622666,0.005785049640433582,0.0,0.0,0.08002166088914264,0.0,0.0,0.0,0.020111510509381154,0.0,0.008330967627003758,0.08080476202097604,0.09578500380751012,0.10414929993638297,0.0,0.07485199451784671,0.0,0.0
fashionshow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3280412944770493,0.0,0.061549184185573654,0.27179574718121957,0.0,0.0,0.0,0.11234140671454926,0.0,0.00919554825600137,0.0,0.0,0.0,0.4833953005878051,0.0,0.026463902354539024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first-birthday,0.0,0.0,0.0,0.0,0.0,0.5216186275527457,0.0,0.02761138928589671,0.007984723375710764,0.0,0.3740196657697475,0.005937784829964389,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02149462271381373,0.0,0.0,0.3496131176221863,0.0,0.0,0.0,0.0,0.2050063550820611,0.0,0.0,0.0,0.0,0.0,0.0,0.406578556307363,0.0,0.008827764793370047,0.4111373478985684,0.0,0.0,0.0,0.16744043962888797,0.726074881293,0.448578773895665,0.0,0.0
food,0.0,0.0,0.01595579120522666,0.0,0.0,0.0,0.009932801191799212,0.0,0.0,0.0,0.0,0.014766002992616848,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.571333050307123,0.0,0.2236709210695476,0.0,0.0,0.0,0.0,0.0006535673357034752,0.09340093377152218,0.0504154196136767,0.0,0.0,0.0,0.5595653389951342,0.0,0.21509063273159584,0.0,0.014680064619592162,0.05731778529077653,0.02539166503744141,0.0,0.0,0.0,0.0,0.0,0.041262550496175984
good-omen,0.0,0.0,0.025994736212549927,0.23008639411250323,0.11520756704170357,0.0,0.007677372642552885,0.0,0.02479167501830975,0.0,0.0,0.0,0.0,0.3005210409677902,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.1321283690740263,0.0,0.0,0.045422532082755034,0.10438356866156863,0.0,0.47667779346011074,0.05589771305469216,0.0,0.0,0.03424742169123064,0.0,0.0,0.0,0.01896620448086106,0.0,0.00785653745219603,0.07620310959747524,0.09033025975676418,0.09821822772638429,0.0,0.0,0.0,0.0
group,0.2559718766661607,0.0,0.0,0.05242218817665589,0.0,0.18881594569693982,0.009765772310072418,0.038875031938966985,0.19694510193584422,0.0,0.06835611422381212,0.007958089350942783,0.0,0.09816705230939843,0.0,0.0,0.0,0.0,1.0000000000000002,0.04527702098631661,0.0,0.04034801276824893,0.02260250932457583,0.278368057136032,0.0,0.00862887937395937,0.04714186922070542,0.10030778409483526,0.0,0.014777333789303897,0.0,0.0,0.08347487628091427,0.0,0.0,0.0,0.0007170528466014847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
