user_Num,category,stayTime
1,dog,41
2,model-and-actor,19
3,retouching-process,9
4,news,5
5,map,9
6,model,8
7,lesson-photo,50
8,body,8
8,seminude,9
10,body,40
10,body,51
10,bj,18
11,retouching-process,25
11,map,1
12,retouching-process,32
13,withyou,19
13,dog,9
13,dog,25
13,print,14
13,person,72
14,body,129
14,map,50
14,map,14
14,map,33
14,map,51
15,grapher,14
16,seminude,33
16,body,13
17,dog,8
17,dog,14
17,dog,19
17,person,32
17,print-copy,8
18,dog,19
18,contact,26
19,model-and-actor,86
19,person,41
20,dog,18
21,dog,5
21,dog,17
21,animalcompany,34
22,person,41
22,body,2
23,grapher,13
25,body,18
26,body,2
26,body,25
27,grapher,29
27,grapher,9
27,contact,33
27,contact,8
27,grapher,18
27,artwork-dark,14
27,for-english,16
27,wedding,41
27,about-studio,33
27,grapher,9
27,model,27
27,music,19
27,person,52
28,print,2
29,video-excercise,9
29,video-fashion,25
30,event,13
30,artwork-dark,19
30,artwork-creative-h-and-m,9
30,artwork-dark,6
30,evil-omen,8
30,artwork-dark,14
31,person,3
31,model-and-actor,32
31,person,65
31,body,87
31,guide-body,85
31,bj,19
31,model-and-actor,26
32,contact,2
33,model-and-actor,25
34,grapher,9
35,body,99
36,withyou,79
37,body,3
37,body,3
38,person,33
38,body,73
38,model-and-actor,33
38,kids,19
39,dog,13
39,contact,25
40,kids,5
41,body,19
41,body,8
41,artwork-dark,6
41,person,5
42,group,8
42,grapher,25
42,musician,2
42,musician,18
43,body,13
44,person,42
45,grapher,18
45,grapher,5
45,grapher,2
45,about-studio,14
46,grapher,25
48,grapher,6
49,grapher,2
50,lookbook,2
51,seminude,26
52,body,8
53,artwork-creative-h-and-m,42
54,grapher,73
54,product,27
54,news,18
54,contact,3
55,contact,14
55,grapher,4
55,grapher,42
56,lookbook,26
57,person,7
58,grapher,20
59,body,32
60,musician,48
61,body,5
62,body,9
63,seminude,51
64,dog,42
65,body,62
65,seminude,19
65,evil-omen,33
65,group,15
66,body,5
66,seminude,32
67,body,649
68,body,3296
69,video-fashion,14
69,video-fashion,2
70,contact,19
70,model-and-actor,13
71,artwork-dark,25
72,map,2
73,person,32
74,body,13
75,withyou,6
76,artwork-creative-h-and-m,13
77,about-studio,222
77,video-excercise,26
77,video-fashion,19
77,video-entertainment,14
77,food,8
77,contact,8
77,grapher,41
78,person,14
78,zoo,19
79,group,99
