category,4050,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,dog,evil-omen,fashionshow,good-omen,group,kids,landscape,location,lookbook,model-and-actor,musician,panorama,person,portrait-strong,product,seminude,street,uniform,wedding,withyou,zoo
4050,1.0,0.02427655845290932,0.09052092486186922,0.04324055315586412,0.044339748934549145,0.03963655078854143,0.001438251871295755,0.024799859555152584,0.13768301481807677,0.0035580201699084713,0.009963789967766038,0.0874684800619812,0.06324589688313098,0.25806760900896986,0.06440585612262727,0.005535247120214563,0.13351318059002032,0.016280927793584015,0.07515651408828165,0.07421375925787022,0.12449430579281069,0.04454753920956993,0.04435130213063936,0.009425599370445438,0.07242137161825174,0.02160039030497791,0.009592278842488977,0.03149296622658431,0.01854286378906223,0.022752771652863896
animalcompany,0.02427655845290932,0.9999999999999997,0.05481518816232795,0.039792396230259645,0.09577204270150769,0.007114114286396574,0.01649548554442562,0.002213687748805452,0.0891322248929165,0.15882617599673385,0.008314354750436384,0.06258275015216186,0.07081718609557142,0.011989147257042013,0.0058534147661282974,0.004582371278667127,0.10734190133624459,0.019097188781965438,0.011772493136613254,0.007050018256868465,0.10820186724209066,0.023728594958121216,0.05605815255980166,0.014354234787738677,0.007827536459462513,0.014963639616070959,0.006509671275534297,0.042876276887081045,0.1019948768670909,0.13525350047735055
artwork-creative-h-and-m,0.09052092486186922,0.05481518816232795,0.9999999999999998,0.28120639487794963,0.045008008809268,0.021164834849424354,0.059533606383147135,0.028553443412824082,0.3262005433356702,0.0007694651224265258,0.23270981489951642,0.20682753470122753,0.3882172797565976,0.0840952879349163,0.027616042641293036,0.019035487749061074,0.287383533605065,0.09072466210972484,0.08522094315491595,0.09111202883279992,0.2804460865202812,0.02088351759575357,0.23032506669661992,0.06016089991675941,0.06704046556964062,0.05313628883587148,0.02207249421628025,0.0669565404068309,0.03734937681287387,0.07104917018445424
artwork-dark,0.04324055315586412,0.039792396230259645,0.28120639487794963,1.0000000000000004,0.012220027849347469,0.011600872144867649,0.018182224185485166,0.00708833591092721,0.15875918803971614,0.014252797733695819,0.4796527649759172,0.11280783858725495,0.1973935839679275,0.021354647952559362,0.010425896769060292,0.009901744702599302,0.19529063030101726,0.023560608863287317,0.025343181029225694,0.0325703538913794,0.1994191300485206,0.01271824615433416,0.09680248332289111,0.02318246226703976,0.014117655849495437,0.018485399573523985,0.013334017483054357,0.09601145518144928,0.024090364761977276,0.03522278546552411
bj,0.044339748934549145,0.09577204270150769,0.045008008809268,0.012220027849347469,0.9999999999999996,0.01090622968430939,0.00036654371600232497,0.010776223787555142,0.08065721168007152,0.0007615188301746645,0.0029265870970776233,0.045284670729295394,0.01978498344014903,0.044565187060507994,0.012252352577683643,0.0017516799365722114,0.03699062617192479,0.022245825672485654,0.09455448388958394,0.052794725486380284,0.03172782624319836,0.02249871980590107,0.02615541381671469,0.00913395044400487,0.025877217538830256,0.018319798362275097,0.005171755936670207,0.023382170748584216,0.006305825399600333,0.0057986265392302215
body,0.03963655078854143,0.007114114286396574,0.021164834849424354,0.011600872144867649,0.01090622968430939,1.0000000000000002,0.0005057837777147449,0.005701321714564201,0.024256884837322724,0.0071253511166762835,0.012274026707242536,0.005049563734661956,0.030822201150346108,0.02662564089859457,0.01544109639051648,0.001143542880272136,0.02057292931634753,0.010533349902035393,0.086169514370875,0.04747018224254728,0.008984727410655036,0.04172935778717268,0.019769602255938185,0.011347135642109298,0.3692026565748152,0.0023100209794637617,0.007065000744806726,0.003097833464603983,0.0014334358769294312,0.0015955807572956228
cat,0.001438251871295755,0.01649548554442562,0.059533606383147135,0.018182224185485166,0.00036654371600232497,0.0005057837777147449,0.9999999999999997,0.0007749699476494346,0.005280591542399136,0.04077789276387868,0.002959532246563619,0.003707681947248772,0.03276984287208042,0.011622938579367869,0.002011338287165778,0.0021104010631934405,0.006359414196405441,0.008296417719610366,0.00042855676793820946,0.0004176746045070138,0.03895058309663858,0.020035721912142104,0.004660572179426211,0.0004053351553262177,0.021053155796007684,0.0006117266262478448,0.00038566203326219047,0.004730152022436307,0.1472040909873394,0.0011715677393264049
ceo,0.024799859555152584,0.002213687748805452,0.028553443412824082,0.00708833591092721,0.010776223787555142,0.005701321714564201,0.0007749699476494346,0.9999999999999999,0.024106267201941083,0.00045477532681713025,0.0015834831516208143,0.013060302949536244,0.03207326859250102,0.1894170666832222,0.10754916868118151,0.0005911818415518751,0.02997225639525997,0.11359243285263604,0.07024582830019606,0.039246996122180064,0.01135216592022983,0.007496788044939617,0.023438944388203962,0.20968253072339454,0.01720452280176821,0.00516587595098675,0.22685025438723233,0.01435643354955427,0.0019556437523588484,0.0020747393810788156
club,0.13768301481807677,0.0891322248929165,0.3262005433356702,0.15875918803971614,0.08065721168007152,0.024256884837322724,0.005280591542399136,0.024106267201941083,1.0,0.0012994999509736156,0.030271050835303577,0.459381593864604,0.25748041381717207,0.1555296722345435,0.07300755397977413,0.02595410173332863,0.4534523365056199,0.05520543486719173,0.10321600509601604,0.11323857613837082,0.45708515411427736,0.05420645217962689,0.26520417997737894,0.07250008373001231,0.046107805031117846,0.1662077750141394,0.0728653398671257,0.12782686988634057,0.07324890269340233,0.10815479055723051
dog,0.0035580201699084713,0.15882617599673385,0.0007694651224265258,0.014252797733695819,0.0007615188301746645,0.0071253511166762835,0.04077789276387868,0.00045477532681713025,0.0012994999509736156,1.0000000000000002,9.335858693570864e-05,0.0009124228734583232,0.00076560052530222,0.025039430394018968,0.0226832769586697,6.680851127776653e-05,0.0015649872500260015,0.0023500642595649835,0.040189114540749464,0.03638225249470764,0.0015775250909003716,0.027832069951021478,0.02165363562875202,0.021745252635697737,0.002693462989203049,0.001197474968013662,0.0013287051365545829,0.012244283985542127,0.14698896376439993,0.07855162138483258
evil-omen,0.009963789967766038,0.008314354750436384,0.23270981489951642,0.4796527649759172,0.0029265870970776233,0.012274026707242536,0.002959532246563619,0.0015834831516208143,0.030271050835303577,9.335858693570864e-05,0.9999999999999998,0.02041059393907619,0.03850313097487204,0.011407790177743604,0.0026473235004901433,0.001728098672075057,0.03479030437635521,0.006515379951397364,0.004564691412502006,0.0033985564178716943,0.036064459696902786,0.0019234098630097618,0.024462711037363652,0.0026461182291107332,0.006959383291655486,0.004024754725503791,0.002168343476974596,0.012020126973102398,0.004221816579586438,0.006001501769739326
fashionshow,0.0874684800619812,0.06258275015216186,0.20682753470122753,0.11280783858725495,0.045284670729295394,0.005049563734661956,0.003707681947248772,0.013060302949536244,0.459381593864604,0.0009124228734583232,0.02041059393907619,1.0,0.17144625404988292,0.08172500125024915,0.03861235929218597,0.03508079217259183,0.3183842242863221,0.050166727497351626,0.2384035320750859,0.057644350934154216,0.32093494841582887,0.04783390408273784,0.14837677833827456,0.03652760569352839,0.030828382799165756,0.14539048827910384,0.043851019739917646,0.08137124683271571,0.04720893149140419,0.05865456697177465
good-omen,0.06324589688313098,0.07081718609557142,0.3882172797565976,0.1973935839679275,0.01978498344014903,0.030822201150346108,0.03276984287208042,0.03207326859250102,0.25748041381717207,0.00076560052530222,0.03850313097487204,0.17144625404988292,1.0,0.03827763849506165,0.018452701498243927,0.015272775286347809,0.26715148913096826,0.07346124456974812,0.04705588979967997,0.05458760989548378,0.3198255271046634,0.010360666466940779,0.3601981801767157,0.08025069209743958,0.07513355105115838,0.03556175978508251,0.018334699403081075,0.05903734083768808,0.03495761660968496,0.04921617880397875
group,0.25806760900896986,0.011989147257042013,0.0840952879349163,0.021354647952559362,0.044565187060507994,0.02662564089859457,0.011622938579367869,0.1894170666832222,0.1555296722345435,0.025039430394018968,0.011407790177743604,0.08172500125024915,0.03827763849506165,0.9999999999999998,0.08135149108533454,0.0033886662685652397,0.11745473642223396,0.018384636810003477,0.2512304292476887,0.04269984665221902,0.08985476671603307,0.049053847338664094,0.05043368261645906,0.0223095626929096,0.0874160530688352,0.03488758368171929,0.009975875774568292,0.020463751411180762,0.017267246596953632,0.011236614546546054
kids,0.06440585612262727,0.0058534147661282974,0.027616042641293036,0.010425896769060292,0.012252352577683643,0.01544109639051648,0.002011338287165778,0.10754916868118151,0.07300755397977413,0.0226832769586697,0.0026473235004901433,0.03861235929218597,0.018452701498243927,0.08135149108533454,1.0,0.0016325384226959947,0.05757221443188052,0.018265099641723157,0.060432423085570675,0.07233245496438456,0.030017302874295996,0.02642282785082252,0.023669321146211807,0.026240281864129703,0.047157858641610956,0.01622339824114098,0.03182413759708576,0.01617035485742947,0.012336954836730588,0.005486008645811915
landscape,0.005535247120214563,0.004582371278667127,0.019035487749061074,0.009901744702599302,0.0017516799365722114,0.001143542880272136,0.0021104010631934405,0.0005911818415518751,0.02595410173332863,6.680851127776653e-05,0.001728098672075057,0.03508079217259183,0.015272775286347809,0.0033886662685652397,0.0016325384226959947,1.0,0.026642754184830177,0.010201648752772553,0.0040338290004859395,0.004452324506893547,0.023499176472199318,0.004020845221200618,0.007651194142865361,0.004486972717005914,0.0019460506448392327,0.012124381700288848,0.010053433509302264,0.007365817634326649,0.00305794611098088,0.011761747006699439
location,0.13351318059002032,0.10734190133624459,0.287383533605065,0.19529063030101726,0.03699062617192479,0.02057292931634753,0.006359414196405441,0.02997225639525997,0.4534523365056199,0.0015649872500260015,0.03479030437635521,0.3183842242863221,0.26715148913096826,0.11745473642223396,0.05757221443188052,0.026642754184830177,0.9999999999999998,0.040551956378960606,0.10527035601081748,0.06537543029320945,0.5673185055523458,0.040208206161855255,0.145477052899062,0.03922664272120223,0.06801995527958657,0.05252988528795752,0.03311737874063921,0.13624064777913183,0.06880755894177588,0.10060428353653764
lookbook,0.016280927793584015,0.019097188781965438,0.09072466210972484,0.023560608863287317,0.022245825672485654,0.010533349902035393,0.008296417719610366,0.11359243285263604,0.05520543486719173,0.0023500642595649835,0.006515379951397364,0.050166727497351626,0.07346124456974812,0.018384636810003477,0.018265099641723157,0.010201648752772553,0.040551956378960606,1.0,0.026162896367213015,0.03840117794868801,0.11555756287241381,0.01832460840763525,0.05149043059088623,0.04902462150444224,0.04242735094277634,0.02379744363701774,0.08861449630925956,0.04560908256968578,0.00469313613117548,0.005445940954026029
model-and-actor,0.07515651408828165,0.011772493136613254,0.08522094315491595,0.025343181029225694,0.09455448388958394,0.086169514370875,0.00042855676793820946,0.07024582830019606,0.10321600509601604,0.040189114540749464,0.004564691412502006,0.2384035320750859,0.04705588979967997,0.2512304292476887,0.060432423085570675,0.0040338290004859395,0.10527035601081748,0.026162896367213015,1.0000000000000002,0.21340420815002012,0.03709564255196219,0.12569545767039428,0.08594587719690036,0.09237907764583611,0.1132780785626061,0.023480932957856977,0.018544850533747118,0.029327742627595035,0.12039039201667842,0.006779656940340143
musician,0.07421375925787022,0.007050018256868465,0.09111202883279992,0.0325703538913794,0.052794725486380284,0.04747018224254728,0.0004176746045070138,0.039246996122180064,0.11323857613837082,0.03638225249470764,0.0033985564178716943,0.057644350934154216,0.05458760989548378,0.04269984665221902,0.07233245496438456,0.004452324506893547,0.06537543029320945,0.03840117794868801,0.21340420815002012,0.9999999999999999,0.0361536883581741,0.08495471967774132,0.03675621024204225,0.015025966797177708,0.12331072116186347,0.026541985462477546,0.022220810535745365,0.04489983569714979,0.0075545185420528935,0.006607503936696858
panorama,0.12449430579281069,0.10820186724209066,0.2804460865202812,0.1994191300485206,0.03172782624319836,0.008984727410655036,0.03895058309663858,0.01135216592022983,0.45708515411427736,0.0015775250909003716,0.036064459696902786,0.32093494841582887,0.3198255271046634,0.08985476671603307,0.030017302874295996,0.023499176472199318,0.5673185055523458,0.11555756287241381,0.03709564255196219,0.0361536883581741,1.0,0.019956468209016948,0.15801481564264366,0.0454441957362367,0.022199582721856438,0.05295072663530932,0.033382697467561416,0.1163434378625478,0.06935880830495855,0.10141027125192648
