category,4050,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,dog,evil-omen,fashionshow,good-omen,group,kids,landscape,location,lookbook,model-and-actor,musician,panorama,person,portrait-strong,product,seminude,street,uniform,wedding,withyou,zoo
4050,0.0,0.0031661162864199165,0.003081684580150783,0.005154454896485722,0.013740174772098997,0.03235555847832096,0.005768133679717539,0.008380475954818249,0.0026139291562291447,0.010825712931349025,0.014037112228836943,0.0027445688412298204,0.002618802944319918,0.005831199984334116,0.003631584105909978,0.013658836757108515,0.0029597797902545363,0.01467827095544085,0.006585548396748945,0.0036053170137622034,0.0037859360030647123,0.020507630025533866,0.003072556531104875,0.0045393679403987145,0.007626288930915477,0.013984948230870023,0.005126708725006347,0.004430367326106264,0.01219833039651078,0.002781482685630087
animalcompany,0.0031661162864199165,0.0,0.0027179282957098877,0.004925738843699956,0.01357019618331668,0.03240197860341809,0.005511519131997867,0.00828117194000128,0.002147037622966782,0.01040370498122256,0.01395319763773941,0.002278648587850545,0.00207289399063427,0.0062377177941486195,0.0033810793059780428,0.013568436910726277,0.002579006166300687,0.01459339430601132,0.006547783756058654,0.0033708717502088214,0.003519801321877071,0.0205106697883062,0.00261786125416751,0.004239878755165363,0.007618851433618934,0.013917074972031268,0.004877443535027558,0.00412314904851381,0.011939170377592236,0.002154394253517699
artwork-creative-h-and-m,0.003081684580150783,0.0027179282957098877,0.0,0.004468394874285226,0.013673296300935446,0.03237598225337647,0.005443118560223418,0.008238795124768121,0.0019327541437728776,0.010719322747086766,0.013507205013121658,0.0021420995390268893,0.0018397929508802767,0.006110673668119625,0.003367137544774056,0.013545127045673793,0.002327473804456588,0.014455087661988619,0.006416953310094733,0.0032532622031534644,0.00321709609747359,0.02051904468704597,0.0023886840503690976,0.004174615279174872,0.007513094594301569,0.013846068301185363,0.004863800853392604,0.0040962340178958235,0.01207023128387026,0.002254924277988022
artwork-dark,0.005154454896485722,0.004925738843699956,0.004468394874285227,0.0,0.014319165881196333,0.03262895971369662,0.0068670480410845365,0.009243067947100399,0.0045529971979505045,0.011433262996053543,0.012306061901058039,0.004634445543760046,0.004508565652291369,0.00743855260037817,0.005342403662675414,0.014157387456557768,0.004620232342734769,0.015106996594226723,0.007681955234505467,0.005284353231254808,0.005026525393383986,0.020916669942725116,0.004787827903079296,0.005890099945867174,0.00863866991304035,0.014472670323176551,0.006376975403867876,0.005626402297795447,0.012727371338515456,0.004711704057652742
bj,0.013740174772098997,0.01357019618331668,0.013673296300935448,0.014319165881196333,0.0,0.03496810605793127,0.014568781025804263,0.01574402335353214,0.013572683809891935,0.017209289462618575,0.01938115219686829,0.013619929751434735,0.013626020843263748,0.014613731118805626,0.013862212799030315,0.019112614388555233,0.013679336346632183,0.019668675893764115,0.014443090648298974,0.0137500267127795,0.013877815105965774,0.024323648563534087,0.01369417851471921,0.014100937719082409,0.015318703386157788,0.019214431965968493,0.014313003261879792,0.014030273029651976,0.0180792880274321,0.01366299763740249
body,0.03235555847832096,0.03240197860341809,0.03237598225337646,0.032628959713696615,0.03496810605793128,0.0,0.032766808936152414,0.03329863355561436,0.032348452202772146,0.033956639502792936,0.035032521715637525,0.03237604373394842,0.03234173864549361,0.032742402508286736,0.032432253452115894,0.03502100855084195,0.032373453763719404,0.035316993786863426,0.03242396925376295,0.03234330033059539,0.03248099186670541,0.037555960809390034,0.03237303446451498,0.032535043460457685,0.03041562377848232,0.035150415100567566,0.032633987704904194,0.032557658838151114,0.03448679403572638,0.03237708317556394
cat,0.005768133679717538,0.005511519131997867,0.005443118560223418,0.0068670480410845365,0.014568781025804263,0.032766808936152414,0.0,0.009572183855843686,0.005288589884734257,0.01154897274190791,0.014756741793595004,0.005338867546990822,0.005223854643580288,0.007843182150942807,0.005872070705761241,0.014390739286058095,0.005510816533842321,0.015357344487719988,0.008135018077062874,0.005871180824206252,0.005957788815981721,0.021009086455811815,0.005496713774079518,0.006420079856753854,0.008927833938219965,0.014746196964917285,0.0068505138563668,0.006362825232857358,0.012332418208176089,0.005320439181694239
ceo,0.008380475954818249,0.00828117194000128,0.008238795124768121,0.009243067947100399,0.01574402335353214,0.03329863355561436,0.009572183855843686,0.0,0.008096140843638244,0.013254856861719441,0.01599278197531023,0.008137378274212128,0.008067054377780606,0.009057236288368865,0.008226887702645418,0.01565871452170001,0.0082166034385598,0.01576428718747213,0.00985135070346727,0.008406895061434128,0.008609662283235888,0.021933961091368796,0.008218312489429,0.00814722557041553,0.01082630179895012,0.015947578094090902,0.008277677369719521,0.008817319910016337,0.014419809133483471,0.008137406514893312
club,0.0026139291562291447,0.002147037622966782,0.0019327541437728776,0.0045529971979505045,0.013572683809891935,0.032348452202772146,0.005288589884734257,0.008096140843638244,0.0,0.010586572156993898,0.01384052698321094,0.0012450795185791012,0.0011764423524208635,0.005875450603005857,0.002894455458610218,0.013450346045470685,0.0017079800923594987,0.014479324427131027,0.00625222994996136,0.0028434608349297017,0.0028204197629280105,0.020433454337854234,0.0018769282441159307,0.003862191953761978,0.007406722838280185,0.013670690353754426,0.004529863328182998,0.003731206349070366,0.011948329939172136,0.0015216050132871453
dog,0.010825712931349025,0.010403704981222561,0.010719322747086766,0.011433262996053543,0.017209289462618575,0.033956639502792936,0.01154897274190791,0.013254856861719441,0.010586572156993898,0.0,0.01738492543059357,0.010611567044272697,0.01056575776961734,0.011965472336748073,0.010830199515615988,0.01707177292994815,0.01070087691456115,0.0179012407136301,0.012040502720866837,0.010791014277112616,0.010988068534463555,0.02275327096422525,0.010655325767500128,0.011116411482675701,0.01284426569775859,0.0173570313484797,0.011441110985240139,0.01112594938130759,0.014742966866437933,0.010507622566870664
evil-omen,0.014037112228836943,0.01395319763773941,0.013507205013121658,0.012306061901058039,0.01938115219686829,0.035032521715637525,0.014756741793595003,0.01599278197531023,0.01384052698321094,0.01738492543059357,0.0,0.013865523982317354,0.013824426652481459,0.014992866324812372,0.014098459840040968,0.019265913856248616,0.013895847190852647,0.01997279186995802,0.015160634235057173,0.01409445902117002,0.014073325564708292,0.024677407559066156,0.013909750812594235,0.014331306180902859,0.01563095491938184,0.01950463817714281,0.014529592821464174,0.014278068298913125,0.018259342297489937,0.013876329056161223
fashionshow,0.00274456884122982,0.002278648587850545,0.0021420995390268893,0.004634445543760047,0.013619929751434735,0.03237604373394842,0.005338867546990823,0.008137378274212126,0.0012450795185791012,0.010611567044272697,0.013865523982317354,0.0,0.0014141081428425608,0.005980954939684312,0.0030099817989771844,0.013452320621345616,0.0019299521391416025,0.014491721635175417,0.006093734288033427,0.0029780703204761415,0.0029917200329198502,0.020442518892640836,0.0020952550610698517,0.003958887556425711,0.007451559384788124,0.013679855730694601,0.00460832002759715,0.0038318586946223727,0.011987742028293556,0.0017137498460786098
good-omen,0.0026188029443199186,0.00207289399063427,0.0018397929508802767,0.004508565652291369,0.013626020843263748,0.03234173864549361,0.005223854643580288,0.008067054377780606,0.0011764423524208635,0.01056575776961734,0.013824426652481459,0.0014141081428425608,0.0,0.005972358214728499,0.002875762926755356,0.013448482186850385,0.0018612385988899859,0.014461566814582367,0.0062873604118244735,0.0028369124289586837,0.0029842673157619696,0.020471830704493082,0.0017345813977519707,0.0038135200940706284,0.007362705955163568,0.013803477109968704,0.00454167098401804,0.0037574707830193427,0.01197876189674496,0.0014280433704881824
group,0.005831199984334116,0.0062377177941486195,0.006110673668119625,0.00743855260037817,0.014613731118805626,0.032742402508286736,0.007843182150942807,0.009057236288368865,0.005875450603005857,0.011965472336748073,0.014992866324812372,0.005980954939684312,0.005972358214728499,0.0,0.0063512022905861795,0.01467387150095483,0.006026170402424353,0.015569263183571923,0.0074797655712364,0.006446622348730984,0.006471612878113766,0.021027891222277995,0.006137574034106377,0.006978874924437631,0.009062194222651301,0.014842028368634201,0.007408949887501422,0.006945540761695665,0.013281153153061841,0.0060529042326070365
kids,0.003631584105909978,0.0033810793059780428,0.003367137544774056,0.005342403662675414,0.013862212799030315,0.032432253452115894,0.005872070705761241,0.008226887702645418,0.002894455458610218,0.010830199515615986,0.014098459840040968,0.0030099817989771844,0.002875762926755356,0.006351202290586179,0.0,0.013713108817898823,0.0032667712502509622,0.014710971228750726,0.006700134607032567,0.0037632273341933406,0.004126266958660328,0.020577247321201565,0.003293052300536885,0.004633182223092988,0.007757198302953578,0.0140385621816688,0.005190532076942313,0.004595504627123914,0.012261221166557777,0.003011407959579474
landscape,0.013658836757108514,0.013568436910726277,0.013545127045673793,0.014157387456557768,0.019112614388555233,0.03502100855084195,0.014390739286058095,0.01565871452170001,0.013450346045470685,0.01707177292994815,0.019265913856248616,0.013452320621345616,0.013448482186850385,0.01467387150095483,0.013713108817898823,0.0,0.01351905454991402,0.01966602620872773,0.01480400171184539,0.013703452758724257,0.013726306833250063,0.024434684504671858,0.01354823311071963,0.013943040037657395,0.015315445543160108,0.01914866108077661,0.014119811190581822,0.01391274666196249,0.01797275084045626,0.013474929869514098
location,0.0029597797902545363,0.002579006166300687,0.002327473804456588,0.004620232342734768,0.013679336346632183,0.032373453763719404,0.005510816533842321,0.0082166034385598,0.0017079800923594987,0.01070087691456115,0.013895847190852647,0.0019299521391416027,0.0018612385988899859,0.006026170402424353,0.003266771250250962,0.01351905454991402,0.0,0.014546405534466046,0.006358799983318936,0.0032459117460813176,0.0025921116811186288,0.020475407681145814,0.0024531925032298873,0.0041721709153874804,0.00749312603845759,0.013839004342403927,0.004808545582614043,0.003934758584447808,0.011999006989801423,0.002144953879746054
lookbook,0.01467827095544085,0.01459339430601132,0.014455087661988619,0.015106996594226723,0.019668675893764115,0.035316993786863426,0.015357344487719988,0.01576428718747213,0.014479324427131027,0.0179012407136301,0.01997279186995802,0.014491721635175417,0.014461566814582367,0.015569263183571923,0.014710971228750726,0.01966602620872773,0.014546405534466046,0.0,0.015645713130862562,0.014654405677163222,0.014476471610532539,0.024861594965199216,0.014521692950781375,0.014804958750487885,0.01598684169456933,0.019782546329040945,0.014791061143944389,0.014801895542089043,0.018763841766528594,0.014542064686686338
model-and-actor,0.006585548396748945,0.006547783756058653,0.006416953310094733,0.007681955234505467,0.014443090648298974,0.03242396925376295,0.008135018077062874,0.00985135070346727,0.006252229949961359,0.012040502720866837,0.01516063423505717,0.006093734288033427,0.0062873604118244735,0.0074797655712364,0.006700134607032567,0.01480400171184539,0.006358799983318936,0.015645713130862562,0.0,0.00628905524229722,0.006910355783458085,0.02063546230227238,0.006384278284105527,0.007020979876376644,0.009126045575344648,0.015030707614784772,0.007639128064074531,0.007193924182201754,0.01283491147783162,0.006377330071547379
musician,0.0036053170137622034,0.0033708717502088214,0.0032532622031534644,0.005284353231254808,0.0137500267127795,0.03234330033059539,0.005871180824206252,0.008406895061434128,0.0028434608349297017,0.010791014277112616,0.01409445902117002,0.0029780703204761415,0.0028369124289586837,0.006446622348730983,0.0037632273341933406,0.013703452758724257,0.0032459117460813176,0.014654405677163222,0.0062890552422972205,0.0,0.00410674402398749,0.020414987135409297,0.003264239915821832,0.004652581797451462,0.007551555504290631,0.014008701832152913,0.005208222175397508,0.004524956907161456,0.012271930978472578,0.003000841200093285
panorama,0.0037859360030647127,0.003519801321877071,0.00321709609747359,0.005026525393383986,0.013877815105965774,0.03248099186670541,0.005957788815981721,0.008609662283235888,0.0028204197629280105,0.010988068534463555,0.014073325564708292,0.0029917200329198502,0.0029842673157619696,0.006471612878113766,0.004126266958660328,0.013726306833250063,0.0025921116811186288,0.014476471610532539,0.006910355783458085,0.00410674402398749,0.0,0.020641567850165195,0.003387289361481637,0.004812500912134918,0.007955905071807752,0.013998196557493764,0.005386704995053047,0.004578241360620993,0.012171969107095532,0.0032503806827463874
person,0.020507630025533866,0.0205106697883062,0.02051904468704597,0.020916669942725116,0.024323648563534087,0.037555960809390034,0.021009086455811815,0.021933961091368796,0.020433454337854234,0.02275327096422525,0.024677407559066156,0.020442518892640836,0.020471830704493082,0.021027891222277995,0.020577247321201565,0.024434684504671858,0.020475407681145814,0.024861594965199216,0.020635462302272384,0.020414987135409297,0.020641567850165195,0.0,0.020528900006913965,0.020779023191426306,0.021207439420970746,0.024522475097176616,0.02092255832388552,0.0206851801004518,0.023212199780024003,0.020488145922561946
