category,4050,after-finish,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,couple,dog,event,evil-omen,fashionshow,first-birthday,food,good-omen,group,kids,landscape,location,lookbook,model-and-actor,model-works,musician,panorama,person,portrait-strong,product,profile-1,review,seminude,street,tour,uniform,video-club,video-entertainment,video-excercise,video-fashion,video-music,video-sketch,video-wedding,wedding,withyou,zoo
4050,0.0,320.40638258311895,134.07926759943163,118.83496960070298,200.80774387458268,123.8131432621127,3432.36757048089,127.07576480194797,369.8371263137329,107.92242584375131,101.61323732663968,439.25960433438445,107.97800701994828,115.19223064078584,117.53829163298231,107.08057713703265,119.85094909928749,110.6322737721683,248.222682283469,155.04676713817673,115.46536277169876,115.58654766018405,284.66910615660424,246.60973442082758,108.56910241869001,146.77704180150246,139.32426206515504,288.471992189498,114.5174659167762,198.17038123796402,106.89831617008754,206.77342672596978,311.7264202968865,139.99732140294685,107.12259332185718,157.71581334088785,866.3466396310429,176.7434581533359,126.12890231822364,153.69856863354323,129.32227186374357,222.78857690644733,182.2779471027694,122.79963354994183,470.85799345450215,111.38138309430352
after-finish,320.40638258311895,0.0,312.70593214712125,307.2124671949366,346.5999134448824,315.4416656759922,3445.715149122006,309.76765486409323,467.20578977576895,302.4152773918672,302.3524433504714,522.2611894445154,302.4351170085908,305.62558793399484,305.97875743260346,302.11587181080046,306.8745672094708,303.3928970823147,394.0434620698585,324.1700942406625,305.1884663613617,305.55195957479964,402.4304287699925,380.1303869872956,302.64665866320087,320.80406792932035,314.9904760464989,413.4215043726896,304.83110077549503,345.07861423159795,302.0513201427863,350.089988431546,426.0799351191172,315.28875653914463,302.13076639097847,323.5460211125734,911.2432441450526,333.2356523543062,309.3804292452902,321.6069029109916,310.6959928933748,359.78118349908186,336.2038072360276,308.21340009804896,549.1038153209282,303.66686105006585
animalcompany,134.07926759943163,312.70593214712125,0.0,98.30818887559673,188.06514828643822,121.73924775701731,3433.2331538782637,104.46530524533014,365.5109437486106,82.29216244576394,82.06095295571457,420.7129860922606,82.365041127896,92.28217596047462,94.55157322858251,81.18497397917918,96.6902270139025,85.11315996953702,265.68261139939136,142.83994539343678,91.96194865269004,93.1611507013519,275.22944973240055,244.57332461065968,83.13843876330611,135.02684918193123,120.56533498481228,290.0454107166286,88.53812738024223,184.85737745624328,80.94442537939224,194.6278500112458,310.8908347171256,119.24764148611074,81.24038404635961,141.41791887090469,862.9537936645276,162.36686854158393,104.88684378891378,135.04073459515837,107.0,208.78577537753858,168.37458240482735,100.04249097258624,458.1440821401058,80.2406536613455
artwork-creative-h-and-m,118.83496960070298,307.2124671949366,98.30818887559673,0.0,175.6288700641213,102.81023511520847,3432.5530423999116,88.69892896760366,359.9982638847026,57.53694465297927,56.2716624954337,429.730438763651,56.07584150059632,63.45470825714984,74.39422020560468,56.44023387619863,77.99679480594058,56.76926985614664,256.30792028339664,130.16816046944814,71.07390519733667,70.6080731928014,266.0314830992753,235.9716320050169,59.21570737566174,116.63940157596832,104.3240144933083,286.0521635607355,64.00390613079799,175.393129854051,56.09367165732691,185.67309982870432,303.67928989496653,106.38843922156204,56.519907997094265,128.8158677251284,861.4103261512483,151.51732574197578,87.29117939402583,123.34707130694267,91.34276107059607,202.6376075658218,157.93827908395102,82.52878285786117,461.98106021784054,64.22664945332272
artwork-dark,200.80774387458268,346.5999134448824,188.06514828643822,175.6288700641213,0.0,192.13782668814707,3436.3385148859957,183.35621069382952,394.53358538912755,170.64143693722227,170.5300560018673,458.4672834565188,169.68352895905954,172.0421459991708,176.87990275890587,170.11025836204,178.42505429451325,169.09686573085853,304.8503731341,206.7601267169277,175.50925901501608,176.14056886475643,313.59488197354244,286.30859419708503,171.05116193700644,200.79529376955028,191.032719710525,326.23739864978353,171.38407160526907,237.11336950918647,169.99558817804655,245.4108799544144,344.25805889058154,192.5370094293562,170.13670973661152,205.43010436101565,875.5556806965506,210.1844428115459,180.86389910648282,200.11621623446712,181.58606774750095,255.7303267115576,225.1588328269624,169.83227019621447,489.05878992202975,172.8498264390219
bj,123.8131432621127,315.4416656759922,121.73924775701731,102.81023511520847,192.13782668814707,0.0,3431.289747796495,113.98001774190266,363.1896122474381,92.1436077242716,87.06574782567738,435.65145982131685,92.20870048126936,99.74188911608023,103.23974256285437,87.80344209906833,105.8652182940386,95.30317121924351,252.22151859911645,148.55872389208398,100.87340801442393,99.1132909575928,257.9528919094423,229.28172869007926,92.90018538433841,118.72950115470226,127.4929191933593,262.05556291663714,99.78699536735458,187.44784459802264,90.94198394825376,198.99357890254763,303.38589288231583,128.2280953786823,90.10241086921285,147.3684912802673,864.0600062752844,142.76359635580928,112.92340078320545,140.50780919381117,116.47937347206347,203.41569370243892,136.99797240997563,97.11304981537984,467.4937908084389,96.17175751978564
body,3432.36757048089,3445.715149122006,3433.2331538782637,3432.5530423999116,3436.3385148859957,3431.289747796495,0.0,3433.1386352562126,3450.264067993766,3432.483050051215,3432.390113155684,3457.746179072271,3432.484798056488,3431.9591910290674,3432.798841891102,3432.456684197033,3432.34043895545,3432.3503811366477,3439.3008212264435,3433.9279460828657,3432.53155686716,3432.572634175261,3440.492911229759,3434.0368373096994,3432.503443390682,3432.242435914003,3433.598679066744,3431.1454203856374,3432.1906836434496,3436.0769983935006,3432.451003130109,3437.0114763976117,3401.2706449208067,3433.2549991063715,3432.4579952111417,3434.176308325865,3538.393581682073,3435.3356297294868,3433.1008052326238,3434.0966627177067,3433.1861133484867,3437.9059598669783,3435.624817829923,3432.9987458327,3462.946706042253,3432.5935459050334
cat,127.07576480194797,309.76765486409323,104.46530524533014,88.69892896760366,183.35621069382952,113.98001774190266,3433.1386352562126,0.0,362.8515536689901,70.30647196382421,69.94998213009065,428.9694045033981,70.39176088151227,83.03613671167511,84.32674546073743,68.83313155741209,87.52142594816426,74.39926074901551,259.6271364861539,135.9347269832106,81.41252974819048,82.76472678623425,274.6602446660237,240.8051309900001,71.29516112612411,128.07517323821975,102.83481900601566,289.3602258047532,80.06247560499239,180.46398532671276,68.72408602520662,189.87100884547908,308.27278684812757,113.55615351005862,68.81133627535509,134.79624541424653,862.2877999832771,156.63332978647935,95.93878256471676,130.07305639524276,100.09995004993759,207.1967663840341,162.85269417482783,91.51775783966738,460.8025607567736,75.50869155269478
ceo,369.8371263137329,467.20578977576895,365.5109437486106,359.9982638847026,394.53358538912755,363.1896122474381,3450.264067993766,362.8515536689901,0.0,356.74675892010566,356.4326724642397,555.3611437614267,356.7635771768189,358.9710991152352,359.77249755922145,356.4424918552781,360.53467239642845,356.870424664191,394.40524844378024,363.02961311716706,359.1006126421953,359.00591917125826,381.0190283962207,411.5414451924753,356.9429226080831,368.1582540158512,367.4673454880039,450.6723757651203,358.796948147556,361.118401635807,356.4382835779569,397.9651366640048,462.6914318540069,367.7230615558399,356.4298668742562,328.38891238557034,930.6865745244206,383.2221940336963,362.669960156614,373.15445863609887,363.7928668899378,406.5166048269123,384.6898101067924,360.5963810134539,580.7996642561013,357.80834604575676
club,107.92242584375131,302.4152773918672,82.29216244576394,57.53694465297927,170.64143693722227,92.1436077242716,3432.483050051215,70.30647196382421,356.74675892010566,0.0,20.09975124224178,426.31414473366937,21.307275752662516,48.92851929090027,51.088159097779204,16.15549442140351,56.20498198558558,32.159757461772,253.49013787522387,118.63072957712096,44.01136216933077,48.46648326421054,266.3404775846135,230.48234446723052,24.124676163629637,109.09743351701725,90.5869747811461,280.1862599732146,43.69210454990696,167.52984808684093,14.89966442575134,177.6231966833161,300.8838831029524,91.61877536837086,16.431676725154983,116.91461746838065,859.855365744728,141.53798076841423,68.58024496894132,111.43608033307704,74.28997240543302,196.03443575045685,148.39137441239635,63.107051903887886,458.80496945870146,32.75763269834986
