Visitor #,"Timestamp
GMT +9",Visitor Id,Repeat Visitor,"Number
of Visit","Visitor Name
(Premium)",Referrer,Keywords,Entrance Page,"Visit Duration (seconds)
(Premium)","Visit Depth
(Premium)","Conversions
(Premium)","Click Path
(Premium)",IP,Organization,Country,Region,City,Postal Code,Screen Size,Browser,OS,User Agent
855,Sep 28 2020 08:48:06 AM,X3EkthFE22shfwbqhBY0NwAAAAE,no,1,,Direct Access,,https://www.helldog-s.com/body,43,2,,https://www.helldog-s.com/body (35 seconds) > https://www.helldog-s.com/seminude (8 seconds),121.171.113.000,Korea Telecom,South Korea,Seoul,Yangcheon-gu,8070,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 9; SM-N950N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.127 Mobile Safari/537.36"
854,Sep 28 2020 08:16:17 AM,X3EdQUP2krJaKSl-PTl5DAAAAAE,no,1,,https://cafe.naver.com/ca-fe/cafes/14001943/articles/1229883?page=1&boardtype=L&referrerAllArticles=true&oldPath=/ArticleRead.nhn?clubid=14001943&page=1&boardtype=L&articleid=1229883&referrerAllArticles=true,,https://www.helldog-s.com/body,5,1,,https://www.helldog-s.com/body (5 seconds),220.120.107.125,Korea Telecom,South Korea,Gyeonggi-do,Seongnam-si,13332,1920x1080,Chrome,Windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
853,Sep 28 2020 06:37:50 AM,X3CSj6YgO1sopKNL8hDKtAAAAAM,yes,2,,https://m.ad.search.naver.com/search.naver?where=m_expd&query=바디프로필스튜디오&referenceId=U3ZZlsp0JxCssMMk0/Nssssstdo-103061,바디프로필스튜디오,https://www.helldog-s.com/body,94,8,,https://www.helldog-s.com/body (18 seconds) > https://www.helldog-s.com/about-studio (33 seconds) > https://www.helldog-s.com/body (13 seconds) > https://www.helldog-s.com/for-english (4 seconds) > https://www.helldog-s.com/body (1 seconds) > https://www.helldog-s.com/contact (6 seconds) > https://www.helldog-s.com/grapher (13 seconds) > https://www.helldog-s.com/for-english (8 seconds),2001:2d8:e510:7fce::554b:7401,SK Telecom,South Korea,Incheon,Incheon,21539,360x740,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-G960N) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
852,Sep 28 2020 03:16:55 AM,X3DCg46wzcEnkMDohRXDcAAAAAU,yes,2,,https://ad.search.naver.com/search.naver?where=ad&sm=svc_nrs&query=바디프로필&referenceId=U3vT8wp0J1ZsscxucMGsssssti4-302526&pagingIndex=2,바디프로필,https://www.helldog-s.com/body,5,1,,https://www.helldog-s.com/body (5 seconds),210.216.173.76,LG DACOM Corporation,South Korea,Seoul,Mapo-gu,4365,1920x1080,Chrome,Windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36"
851,Sep 28 2020 02:59:49 AM,X2FL2WCq3LtyXu5RhqlpzQAAAAQ,yes,3,,Direct Access,,https://www.helldog-s.com,10,1,,https://www.helldog-s.com (10 seconds),116.43.107.151,Lg Powercomm,South Korea,Gyeonggi-do,Uijeongbu-si,11736,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 9; SM-N950N Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.120 Mobile Safari/537.36;KAKAOTALK 2109010"
850,Sep 28 2020 01:49:08 AM,X3DCg46wzcEnkMDohRXDcAAAAAU,no,1,,Direct Access,,https://www.helldog-s.com,11,2,,https://www.helldog-s.com (8 seconds) > https://www.helldog-s.com/grapher (3 seconds),210.216.173.76,LG DACOM Corporation,South Korea,Seoul,Mapo-gu,4365,1920x1080,Chrome,Windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36"
849,Sep 28 2020 01:15:34 AM,X3C6p3OWG53onScYh3dvyAAAAAE,no,1,,Direct Access,,https://www.helldog-s.com,8,2,,https://www.helldog-s.com (3 seconds) > https://www.helldog-s.com/lookbook (5 seconds),110.70.50.168,Korea Telecom,South Korea,Seoul,Seoul,2878,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 159.0.0.28.123 (iPhone11,2; iOS 13_7; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 244425769)"
848,Sep 28 2020 12:05:33 AM,X3CqPA6EnGdl4HC@Pz@YgAAAAAI,no,1,,linkedin.android,,https://www.helldog-s.com,13,1,,https://www.helldog-s.com (13 seconds),175.223.33.199,Korea Telecom,South Korea,Seoul,Seoul,2878,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.120 Mobile Safari/537.36"
847,Sep 27 2020 11:52:44 PM,X3CnO8le7qi5VAl7Nf1fMgAAAAI,no,1,,Direct Access,,https://www.helldog-s.com,54,4,,https://www.helldog-s.com (18 seconds) > https://www.helldog-s.com/video-music (5 seconds) > https://www.helldog-s.com (6 seconds) > https://www.helldog-s.com/person (26 seconds),14.39.193.139,Korea Telecom,South Korea,Seoul,Seodaemun-gu,3660,1440x900,Chrome,Mac OS X,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
846,Sep 27 2020 11:39:05 PM,X3CkCVU7M7-z2C-ft0W-1QAAAAM,no,1,,https://l.instagram.com,,https://www.helldog-s.com/grapher,6,1,,https://www.helldog-s.com/grapher (6 seconds),211.178.222.189,SK Broadband,South Korea,Seoul,Gwangjin-gu,4991,462x733,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-F907N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.101 Mobile Safari/537.36 Instagram 160.0.0.25.132 Android (29/10; 420dpi; 1211x1922; samsung; SM-F907N; winner; qcom; k"
