user_Num,category,stayTime
1,seminude,8
1,body,35
2,body,5
3,body,18
3,body,13
3,body,1
4,body,5
7,lookbook,5
9,person,26
9,video-music,5
11,dog,33
13,product,2
14,seminude,43
14,body,182
14,body,2
15,musician,9
15,model-and-actor,86
15,person,51
15,bj,14
16,dog,9
18,seminude,13
18,model-and-actor,33
18,ceo,6
18,kids,6
18,body,14
20,body,13
21,model-and-actor,25
22,body,33
25,cat,18
25,dog,19
25,dog,77
25,withyou,25
26,wedding,19
27,kids,13
28,withyou,9
30,ceo,2
31,lookbook,26
32,seminude,13
32,body,26
33,portrait-strong,26
33,good-omen,5
33,artwork-dark,5
33,artwork-creative-h-and-m,19
33,ceo,18
33,model-and-actor,51
33,product,25
35,dog,26
37,dog,61
37,artwork-dark,20
37,musician,19
37,model-and-actor,18
38,person,19
38,body,13
39,seminude,5
39,seminude,26
39,body,13
41,withyou,8
43,dog,3
44,dog,2
47,seminude,5
47,body,8
47,seminude,6
49,model-and-actor,33
49,person,42
49,dog,86
49,dog,51
49,kids,14
49,group,25
49,withyou,26
49,withyou,13
50,seminude,51
50,body,18
50,seminude,14
52,model-and-actor,16
53,body,32
53,body,33
53,model-and-actor,2
54,person,14
56,body,51
58,wedding,1
59,artwork-dark,98
59,body,13
59,artwork-creative-h-and-m,18
59,evil-omen,2814
60,body,64
61,animalcompany,3
61,body,33
63,panorama,5
64,person,5
65,ceo,3
66,seminude,14
66,video-excercise,14
66,street,6
66,fashionshow,8
66,artwork-dark,2
66,artwork-creative-h-and-m,5
66,event,5
66,person,14
66,model-and-actor,6
66,bj,13
67,model-and-actor,9
68,dog,5
69,body,8
70,kids,1
71,dog,63
72,lookbook,2
73,dog,8
74,dog,50
78,body,73
79,dog,1
79,body,33
79,dog,42
79,bj,9
79,person,13
79,kids,14
79,seminude,6
79,body,8
79,4050,8
79,group,26
79,withyou,13
79,person,33
80,dog,14
83,body,33
85,model-and-actor,8
86,person,15
87,model-and-actor,6
87,person,129
88,model-and-actor,6
88,model-and-actor,73
88,seminude,13
88,model-and-actor,9
88,musician,13
89,video-fashion,3
89,body,85
89,person,51
89,person,14
89,lookbook,9
89,uniform,13
89,product,14
89,person,14
89,club,14
90,wedding,146
93,body,25
96,panorama,2
99,person,1
99,person,33
99,model-and-actor,26
102,musician,25
102,body,13
102,seminude,51
102,person,33
102,body,162
102,body,5
102,model-and-actor,25
104,body,20
106,seminude,2
106,body,14
107,withyou,26
107,dog,8
107,cat,5
107,animalcompany,8
108,model-and-actor,3
110,body,13
110,kids,6
110,body,33
110,seminude,9
110,body,13
110,musician,18
110,person,18
112,artwork-creative-h-and-m,33
112,artwork-creative-h-and-m,8
113,artwork-creative-h-and-m,5
114,dog,20
114,dog,26
116,dog,2
117,person,2
117,body,5
117,body,25
118,person,2
118,model-and-actor,5
118,model-and-actor,2
118,musician,18
118,seminude,13
118,group,6
118,person,1
118,4050,3
119,evil-omen,2
123,model-and-actor,19
125,person,3613
126,body,18
126,seminude,8
127,wedding,13
128,person,13
128,ceo,14
130,wedding,6
130,body,51
130,seminude,19
131,fighter,802
137,location,8
137,model-and-actor,26
137,musician,14
137,person,26
137,kids,10
137,musician,26
137,person,33
137,group,14
139,artwork-dark,99
139,4050,18
139,evil-omen,3
139,portrait-strong,2
139,video-fashion,6
139,good-omen,13
139,video-music,13
139,portrait-strong,14
139,video-excercise,9
139,video-club,26
139,evil-omen,6
139,artwork-creative-h-and-m,51
139,video-sketch,14
139,video-entertainment,6
139,video-wedding,926
139,artwork-dark,19
139,video-sketch,2
139,video-sketch,6
139,group,26
139,location,14
139,portrait-strong,33
139,animalcompany,9
139,artwork-dark,42
139,animalcompany,3
139,animalcompany,14
139,couple,6
139,tour,5
139,tour,3
139,artwork-creative-h-and-m,14
139,wedding,2
139,couple,5
139,first-birthday,2
139,wedding,50
139,evil-omen,73
139,club,51
139,street,86
139,good-omen,14
139,landscape,19
139,lookbook,26
139,uniform,9
139,product,8
139,fashionshow,25
139,event,26
139,zoo,19
139,food,3
139,event,6
139,panorama,201
139,group,18
139,location,19
139,panorama,9
139,ceo,5
139,4050,26
139,club,8
139,zoo,1
139,zoo,2
139,street,2
139,person,33
139,person,6
139,kids,5
139,body,8
139,seminude,1
139,seminude,19
139,kids,5
139,body,26
139,musician,6
139,model-and-actor,14
139,seminude,9
139,ceo,6
139,4050,13
139,bj,26
139,video-wedding,289
139,first-birthday,9
139,cat,2
139,couple,5
139,dog,1
139,withyou,50
139,tour,5
139,video-fashion,42
139,animalcompany,25
139,video-music,2
139,video-sketch,2
139,video-wedding,50
139,video-wedding,2
139,couple,18
139,location,156
141,dog,13
141,dog,26
142,video-music,13
142,evil-omen,146
142,wedding,2
143,location,8
144,ceo,19
146,person,8
147,dog,2
147,dog,32
147,animalcompany,18
149,portrait-strong,62
149,video-sketch,1
149,video-fashion,9
149,couple,8
150,video-music,6
150,video-sketch,14
150,artwork-creative-h-and-m,13
150,zoo,8
151,person,18
151,model-and-actor,42
153,body,26
