category,4050,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,dog,evil-omen,fashionshow,good-omen,group,kids,landscape,location,lookbook,model-and-actor,musician,panorama,person,portrait-strong,product,seminude,street,uniform,wedding,withyou,zoo
4050,0.0,0.01328968501829214,0.012347193718211833,0.01822149846821926,0.02718910799797744,0.22506580708485757,0.020313197108949767,0.026843341958894734,0.007249933077540824,0.09254533376956862,0.025203741709050882,0.007751851521370574,0.00786338895333274,0.018381368787365043,0.012904880878022664,0.021760952975818676,0.010941822075488534,0.05395065584009997,0.055322566253234604,0.017700990452395825,0.013250646917105383,0.09325830582076677,0.010109009250171025,0.01931828321584724,0.04914711043692933,0.025508610689747472,0.015897801969007464,0.015291781922013026,0.04209422682252163,0.009155364206894502
animalcompany,0.01328968501829214,0.0,0.014906977781743554,0.019621293239344452,0.03113195621784003,0.23039171946105105,0.020720308735611672,0.0306411915172065,0.009140492549299545,0.08657250428799457,0.02727276107194907,0.009642410993129295,0.00899549388774873,0.024822655483180155,0.016725037922726862,0.023517667529222797,0.013055456411171586,0.05566275542071921,0.05897541714999555,0.020428080663870793,0.014873516552154903,0.09780345617322506,0.011523675678891166,0.020528464352636746,0.05506417120252225,0.02677456054251806,0.01750951786086077,0.01660234674756848,0.041530962791112694,0.009250171024062339
artwork-creative-h-and-m,0.012347193718211833,0.014906977781743554,0.0,0.015064989143689951,0.028449480979149924,0.22811077897742477,0.02074373159632372,0.028973706909372114,0.008086463817257075,0.09460877626086868,0.023482347342434776,0.008655304720264122,0.007852235210136524,0.023344784509681447,0.016596769875970377,0.02306594092977602,0.012046042651913984,0.050504149192469,0.05731908628535739,0.018983670919960734,0.0140648701704292,0.09755249695131016,0.009250171024062344,0.019909431605246716,0.05241515719342078,0.026077451592754517,0.01751509473245888,0.016596769875970366,0.04324306237173195,0.010504967133636718
artwork-dark,0.01822149846821926,0.019621293239344452,0.015064989143689951,0.0,0.03579607983105796,0.23304816929894992,0.025529431010380407,0.03527185390083576,0.013603848784985573,0.09811848745327821,0.024850539841170693,0.014217304660777488,0.012254245858243355,0.029620624014752676,0.021935694952559405,0.028047946224086122,0.016098569346539363,0.059077659795960864,0.06314877606257994,0.024344903482942205,0.017849707028345378,0.10199912257220188,0.014923708396537876,0.025203741709050886,0.05893637904880879,0.03112637934624192,0.02236325510841437,0.020909550578507477,0.04789045537015556,0.01571004729187115
bj,0.02718910799797744,0.03113195621784003,0.028449480979149924,0.03579607983105796,0.0,0.23782197138693062,0.03851238809077658,0.04459638321287288,0.02397682995746705,0.11069990977861058,0.0431798578269534,0.024835668183575736,0.026062579935159563,0.03649132982362213,0.03206329377472411,0.03996014395764551,0.028427173492757495,0.06643913030546386,0.06429389369739154,0.03253175098896523,0.03113753308943814,0.1019247642842271,0.027772820558579454,0.036580559769191855,0.06418607417982808,0.04116474822283691,0.03400776300526455,0.03219713869307872,0.05962419321257547,0.02735455518872133
body,0.22506580708485757,0.23039171946105105,0.22811077897742477,0.23304816929894992,0.23782197138693062,0.0,0.23779445882037997,0.24340999672823527,0.22493196216650294,0.30507433350187907,0.24119040183218807,0.2260584902293208,0.22429619880431861,0.23108882841081452,0.2298953778888194,0.2387737574730078,0.2270623271169803,0.2632896850182921,0.24680073465988506,0.22712924957615763,0.23111113589720692,0.2761703994527232,0.22654181910115692,0.23492571607031312,0.20722353588530962,0.24265526010529118,0.23201830701049933,0.23359842062996328,0.2601777906665476,0.2271050831325658
cat,0.020313197108949767,0.020720308735611672,0.02074373159632372,0.025529431010380407,0.03851238809077658,0.23779445882037997,0.0,0.03707355521846463,0.01616400463995717,0.09664098827121936,0.03407319829868237,0.01666592308378692,0.015952083519229058,0.030686178281431244,0.023135094137592575,0.030139644864816625,0.02007896850182921,0.062347193718211846,0.06635584902293207,0.02715044168823057,0.020737039350405995,0.10344390410755179,0.018814877606257992,0.027696975104845183,0.06114705095029893,0.034422682252163814,0.02436572380357514,0.023893548674935306,0.04554296421879184,0.017281237916778207
ceo,0.026843341958894734,0.0306411915172065,0.028973706909372114,0.03527185390083576,0.04459638321287288,0.24340999672823527,0.03707355521846463,0.0,0.024791053210790875,0.10957338171579269,0.04314639659736476,0.025292971654620622,0.024400672198923293,0.03641325362124861,0.02915216680051158,0.03939130305463844,0.027858332589750442,0.06685181880372386,0.0686698789447072,0.033368281728681476,0.03088099699592516,0.11086634841319405,0.026728086612533827,0.031951756342761956,0.06645028404866009,0.04304973082299752,0.030672793789595774,0.03167291276285654,0.05999226673805063,0.026265206269890835
club,0.007249933077540824,0.009140492549299545,0.008086463817257075,0.013603848784985573,0.02397682995746705,0.22493196216650294,0.01616400463995717,0.024791053210790875,0.0,0.08875306108285497,0.021351982391957406,0.0028442045150352457,0.0037141964843401447,0.017489069331667707,0.010830284643526365,0.01738868564290175,0.006814937092888373,0.048953778888194896,0.052087980726331765,0.014243330061568662,0.00863299723387169,0.09186037000684094,0.005424437107760031,0.014544481127866509,0.04930326284167635,0.01973097171410725,0.011079384908241873,0.011008744534665833,0.037521192112072804,0.004783096873977575
dog,0.09254533376956862,0.08657250428799457,0.09460877626086868,0.09811848745327821,0.11069990977861058,0.30507433350187907,0.09664098827121936,0.10957338171579269,0.08875306108285497,0.0,0.1072422493877834,0.08925497952668472,0.08894267471719064,0.10120063848983271,0.09438570139694437,0.10313023606277821,0.092668024944727,0.13520840149509725,0.13388110605474754,0.0973749045735304,0.09448608508571031,0.1673479125149956,0.09033317470231898,0.09850143263634827,0.13391456728433612,0.10625328415771887,0.09655324549140913,0.09581338052606013,0.10494086037496404,0.08817492539385105
