category,4050,after-finish,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,couple,dog,event,evil-omen,fashionshow,first-birthday,food,good-omen,group,kids,landscape,location,lookbook,model-and-actor,model-works,musician,panorama,person,portrait-strong,product,profile-1,review,seminude,street,tour,uniform,video-club,video-entertainment,video-excercise,video-fashion,video-music,video-sketch,video-wedding,wedding,withyou,zoo
4050,0.0,0.010067757504575616,0.004213017049471536,0.003734013184625388,0.006309748432822709,0.0038904365518338635,0.10785129836546391,0.003992954117893102,0.011620962335074089,0.0033911210005892,0.003192874699972967,0.01380234420532237,0.0033928674633133785,0.0036195516305038756,0.0036932691793552966,0.003364668566756721,0.003765937128021602,0.0034762694036816434,0.007799612954704447,0.004871854426965491,0.0036281339441225063,0.0036319417960780534,0.008944826587795891,0.007748931167975729,0.0034114407672801257,0.004612004455663864,0.004377824416815555,0.00906432025732908,0.003598349282538137,0.006226877650839404,0.003358941592147291,0.00649720115399748,0.009795017134230524,0.004398973178411527,0.0033659887925171147,0.004955720764835439,0.02722220391613646,0.005553604341031765,0.003963201958153138,0.004829491551721704,0.0040635434992535285,0.0070004266113573395,0.005727508157196211,0.003858590213666672,0.01479522367492544,0.0034998077955790577
after-finish,0.010067757504575616,0.0,0.009825795197081579,0.00965318043032008,0.010890806392612175,0.009911756973322614,0.10827070382158695,0.00973346912377355,0.014680464721940893,0.009502443908621122,0.00950046954754034,0.01641040658113167,0.009503067305847313,0.009603317766975485,0.009614415001810006,0.00949303603490339,0.009642562991656584,0.009533162516333533,0.012381569900074108,0.010186020243225844,0.009589582603656298,0.009601004228587577,0.01264510381052608,0.011944395506277945,0.00950971433348628,0.010080253509169532,0.009897579765797294,0.012990463609511062,0.009578353520046975,0.01084300437491274,0.009491007702836961,0.011000470964070573,0.013388214772006824,0.009906952287168723,0.009493504049991467,0.01016641071838408,0.02863293775789639,0.01047087674326178,0.009721301783041324,0.010105480060046869,0.009762639211103685,0.011304986127229593,0.010564141625641087,0.009684631582028246,0.017253851227680382,0.009541770967794684
animalcompany,0.004213017049471536,0.009825795197081579,0.0,0.003089024002375388,0.005909352656290283,0.0038252709428756426,0.10787849658690533,0.0032824919165853933,0.011485025726586351,0.0025857710116500847,0.0025785059844686434,0.013219575368177866,0.0025880609938066304,0.0028996755997006953,0.0029709842334197174,0.002550981114821027,0.0030381846665798115,0.002674411939341305,0.008348236021976162,0.004488293649440276,0.002889613469055461,0.0029272946017706806,0.008648215231183051,0.007684943428457492,0.0026123625691533738,0.004242791804616849,0.003788384445712876,0.009113759959674112,0.00278203071108381,0.005808558600353285,0.00254342263564469,0.006115564807894606,0.009768761499359799,0.003746980093829089,0.0025527222009853767,0.004443610962165112,0.02711559445921532,0.0051018654687064865,0.003295737432487471,0.004243228109824301,0.0033621366849960724,0.006560432847683852,0.005290638881534246,0.0031435189622179495,0.014395729211000966,0.0025213088346063006
artwork-creative-h-and-m,0.003734013184625388,0.00965318043032008,0.003089024002375388,0.0,0.005518581934457857,0.0032304865707842413,0.10785712623408987,0.0027870833925405705,0.011311807191978088,0.0018079165641156096,0.0017681590729122924,0.01350292030679186,0.0017620060173007483,0.001993863574458754,0.002337603148644295,0.0017734558955600514,0.0024508026647585414,0.0017837948108765638,0.008053665994765017,0.0040901228741381974,0.0022332727477560616,0.0022186354498916388,0.008359198212074637,0.0074146624353500995,0.0018606663747262134,0.003665024401444409,0.003278052301439381,0.008988284793738744,0.0020111203811719715,0.005511174543725091,0.001762566273600217,0.005834190096738549,0.009542161504947886,0.0033429203211802687,0.001775959402893771,0.004047631350357531,0.027067095872780778,0.004760952890556977,0.0027428493132451164,0.003875791714279424,0.0028701574570493657,0.006367246113615767,0.004962711047414015,0.002593206059948505,0.014516294115250291,0.00201811938580747
artwork-dark,0.006309748432822709,0.010890806392612175,0.005909352656290283,0.005518581934457857,0.0,0.006037323697977914,0.1079760727379731,0.005761389181267228,0.012396970475699216,0.005361867617823167,0.005358367824096382,0.014405884790464063,0.00533176838834437,0.005405880471301519,0.0055578916813481824,0.005345177010590417,0.005606443182859805,0.005313334351323129,0.009578959092980363,0.0064967832432656,0.005514823535428629,0.0055346604513670525,0.009853727634675333,0.00899634231569788,0.0053747419304636754,0.006309357227637088,0.0060025992053582096,0.010250978747832947,0.005385202564187561,0.0074505379264473365,0.005341573862625187,0.007711260956933682,0.01081722101777161,0.006049866753475451,0.005346008161401777,0.0064549914960256305,0.0275115689142671,0.006604381549459416,0.005683076169881629,0.006288019363219706,0.00570576803605659,0.008035516943018307,0.007074904409331105,0.0053364421114285784,0.015367126156230312,0.005431259275381679
bj,0.0038904365518338635,0.009911756973322614,0.0038252709428756426,0.0032304865707842413,0.006037323697977914,0.0,0.10781743119549075,0.0035814616729584496,0.011412085223800097,0.0028953215310061776,0.002735765838984364,0.013688969672311604,0.002897366865083091,0.003134073499326952,0.003243982484300216,0.0027589455490673476,0.0033264797578645283,0.002994600823856827,0.007925263742313164,0.004667988181997926,0.003169627903045528,0.003114321789712264,0.00810535402700526,0.007204453375964784,0.0029190945918095342,0.003730699172182318,0.004006061875675077,0.008234267491488992,0.0031354908206552897,0.005889955839686494,0.0028575643031658686,0.0062527440346440725,0.009532942431494605,0.004029162462802272,0.0028311833737380315,0.0046305888854758,0.027150353692860466,0.004485894622334934,0.0035482608258666283,0.0044150136431676725,0.0036599960242596537,0.006391695010288732,0.004304728119716438,0.0030514705362256036,0.014689514243784412,0.003021893402035684
body,0.10785129836546391,0.10827070382158695,0.10787849658690533,0.10785712623408987,0.10797607273797309,0.10781743119549075,0.0,0.10787552663805848,0.1084136392142581,0.10785492694583544,0.10785200669774336,0.10864874089779322,0.10785498187137428,0.10783846633241369,0.10786484970592616,0.10785409848223193,0.107850445843062,0.10785075824467073,0.10806915384843495,0.10790032823512534,0.1078564511191566,0.10785774184368449,0.10810661150761218,0.10790374979763385,0.10785556774204809,0.10784736640735275,0.10788998206022757,0.1078128961629422,0.1078457402558821,0.10796785540906517,0.10785391997266636,0.10799721842569081,0.10687417580269615,0.10787918300412788,0.10785413967670511,0.10790813223333427,0.11118283053203681,0.10794456024287463,0.10787433794917901,0.10790562962192317,0.1078770184869909,0.10802532474051772,0.10795364706456939,0.10787113105523011,0.10881215101468189,0.10785839892867341
cat,0.003992954117893102,0.00973346912377355,0.0032824919165853933,0.0027870833925405705,0.005761389181267228,0.0035814616729584496,0.10787552663805848,0.0,0.011401462801853576,0.0022091585848805725,0.00219795701901306,0.013479007211418636,0.0022118385194505033,0.0026091480506417945,0.0026497013499053395,0.002162863521049869,0.0027500840832101886,0.002337761531783677,0.008157961869164303,0.004271318993973624,0.002558131335371264,0.002600619851884815,0.008630329761697525,0.007566539858287514,0.002240225015746241,0.004024357368050895,0.0032312590418229585,0.009092230190251478,0.002515710152552785,0.005670510143808728,0.002159437109982926,0.005966096114547654,0.009686497622879106,0.003568143079656202,0.0021621786732240406,0.004235545810345531,0.027094667713535803,0.0049217071417589735,0.0030145729006980913,0.004087134529308491,0.0031453244320483135,0.006510503264227308,0.005117131003136773,0.0028756561772087155,0.014479263495892335,0.0023726218869660576
ceo,0.011620962335074089,0.014680464721940893,0.011485025726586351,0.011311807191978088,0.012396970475699216,0.011412085223800097,0.1084136392142581,0.011401462801853576,0.0,0.011209638929147074,0.011199769755357102,0.017450467989361403,0.011210167389687947,0.011279531786810218,0.011304713199032881,0.01120007829867331,0.011328662133430588,0.011213524734145828,0.012392937892970314,0.011407057757020174,0.01128360133989616,0.011280625896975907,0.011972318252827043,0.012931388694186183,0.01121580275280701,0.011568209081409308,0.01154649946545181,0.014160954462376129,0.011274059643285343,0.011347003979129834,0.011199946066864317,0.012504796124556317,0.01453861529784782,0.011554534534354748,0.011199681598562645,0.01031858326427558,0.02924388293870921,0.012041545766966106,0.011395756799893606,0.011725199014488574,0.011431040593556568,0.012773498973351526,0.012087660961721678,0.01133060113160892,0.018249793063820935,0.011242995948020635
club,0.0033911210005892,0.009502443908621122,0.0025857710116500847,0.0018079165641156094,0.005361867617823167,0.0028953215310061776,0.10785492694583544,0.0022091585848805725,0.011209638929147074,0.0,0.0006315711309423968,0.013395574068614904,0.0006695137707042424,0.0015374240154249889,0.0016052838679584981,0.0005076353313873845,0.0017660638487222494,0.0010105186947925217,0.007965126091915912,0.003727595587655018,0.0013829179000575261,0.0015229059941621538,0.008368907386790685,0.007242178930627825,0.0007580416704989674,0.003428041901555923,0.0028464092625654705,0.008803967320446648,0.0013728862388030466,0.0052640957764914665,0.0004681748444855095,0.005581247342759344,0.009454324685088842,0.0028788303336487312,0.0005163134870433616,0.003673672190679675,0.027018236158514626,0.004447383527679944,0.002154917359589672,0.0035015264833645576,0.002334327491136937,0.006159762317374921,0.004662729753728087,0.001982939572785165,0.014416495505379464,0.0010293050337266255
